losa_id,receptor,id,area_m2,peso_propio_kN,G_kN,Q_kN
1000000,beam,207,0.346875,1.2756306445312495,2.1600680000000003,1.67763146082
1000000,beam,211,3.515625,12.92868896484375,21.89258,17.003010032925
1000000,beam,212,4.48125,16.4797688671875,27.905741999999996,17.425721758515
1000000,beam,213,4.48125,16.4797688671875,27.905742,21.97302515625
1000000,beam,359,3.16875,11.653058320312498,19.732512,15.325378572104999
1000001,beam,210,3.515625,12.92868896484375,21.89258,13.679706983635
1000001,beam,211,3.515625,12.92868896484375,21.89258,14.062191830925
1000001,beam,380,10.771875,39.61350298828125,67.078865,28.859310684155002
1000001,beam,383,4.219691,15.51788727943125,26.276957,20.615701439725
1000001,beam,384,6.5521840000000005,24.095615708849998,40.801908000000005,32.0113180359
1000002,beam,209,0.346875,1.2756306445312495,2.160068,1.398956868435
1000002,beam,210,3.515625,12.92868896484375,21.89258,17.003010032925
1000002,beam,371,3.16875,11.653058320312498,19.732512,12.77964970464
1000002,beam,381,3.177327,11.684600184206248,19.785924,12.355305171825
1000002,beam,382,1.303922,4.7951650054875,8.119819,5.070411683365
1000002,beam,385,4.48125,16.4797688671875,27.905742,21.84063538125
1000003,beam,213,4.48125,16.4797688671875,27.905741000000003,21.97302515625
1000003,beam,216,4.48125,16.4797688671875,27.905742,21.97302515625
1000003,beam,360,3.515625,12.92868896484375,21.892580000000002,17.238251953125
1000003,beam,379,3.515625,12.92868896484375,21.892580000000002,17.238251953125
1000004,beam,208,3.369319,12.390649564256247,20.9815,16.520866085675
1000004,beam,379,3.369319,12.390649564256247,20.9815,16.520866085675
1000004,beam,383,2.227556,8.191823267775,13.871487000000002,10.9224310237
1000004,beam,388,2.227556,8.191823267775,13.871487,10.922431023699998
1000005,beam,208,3.515625,12.92868896484375,21.892580000000002,17.238251953124998
1000005,beam,378,3.515625,12.92868896484375,21.89258,17.238251953125
1000005,beam,384,5.175000000000001,19.031030156250004,32.225877,25.374706875
1000005,beam,389,5.175,19.031030156249997,32.225878,25.374706874999998
1000006,beam,372,3.515625,12.92868896484375,21.892580000000002,14.193287128124997
1000006,beam,378,3.515625,12.92868896484375,21.892580000000002,17.238251953125
1000006,beam,385,4.48125,16.4797688671875,27.905741,21.84063538125
1000006,beam,390,4.48125,16.4797688671875,27.905742,21.84063538125
1000007,beam,214,10.078125,37.06224169921875,62.758729,49.416322265625
1000007,beam,216,5.928718,21.802823390512497,36.919446,29.07043118735
1000007,beam,361,3.515625,12.92868896484375,21.89258,17.238251953124998
1000007,beam,366,3.515625,12.92868896484375,21.89258,17.238251953124998
1000007,beam,388,4.149407,15.259418308706248,25.839284,20.345891078275
1000008,beam,366,3.515625,12.92868896484375,21.892580000000002,17.238251953124998
1000008,beam,373,3.515625,12.92868896484375,21.892580000000002,14.193287128124997
1000008,beam,386,13.171873999999999,48.43948431078749,82.02420000000001,64.45358930604999
1000008,beam,389,6.859734,25.226628911662495,42.717097,33.566559562725
1000008,beam,390,6.312141,23.21285907661875,39.307103,30.887034646649997
1000009,beam,214,11.875,43.67023828125,73.94827,58.226984374999994
1000009,beam,217,11.875,43.67023828125,73.94827,58.226984374999994
1000009,beam,362,6.25,22.9843359375,38.920142,30.64578125
1000009,beam,367,6.25,22.9843359375,38.920142,30.64578125
1000010,beam,367,6.25,22.9843359375,38.920142,30.64578125
1000010,beam,374,6.25,22.9843359375,38.920142,26.497568299999998
1000010,beam,386,16.0,58.83989999999999,99.63556400000002,78.32081022499999
1000010,beam,391,16.0,58.83989999999999,99.63556400000002,78.32081022499999
1000011,beam,215,11.875,43.67023828125,73.94827,58.226984374999994
1000011,beam,217,11.875,43.67023828125,73.94827,58.226984374999994
1000011,beam,363,6.25,22.9843359375,38.920142,30.64578125
1000011,beam,368,6.25,22.9843359375,38.920142,30.64578125
1000012,beam,368,6.25,22.9843359375,38.920142,30.64578125
1000012,beam,375,6.25,22.9843359375,38.920142,26.497568299999998
1000012,beam,387,16.0,58.83989999999999,99.63556400000002,78.32081022499999
1000012,beam,391,16.0,58.83989999999999,99.63556400000002,78.32081022499999
1000013,beam,215,11.875,43.67023828125,73.94827,58.226984374999994
1000013,beam,218,11.875,43.67023828125,73.94827,58.226984374999994
1000013,beam,364,6.25,22.9843359375,38.920142,30.64578125
1000013,beam,369,6.25,22.9843359375,38.920142,30.64578125
1000014,beam,369,6.25,22.9843359375,38.920142,30.64578125
1000014,beam,376,6.25,22.9843359375,38.920142,26.497568299999998
1000014,beam,387,16.0,58.83989999999999,99.63556400000002,78.32081022499999
1000014,beam,392,16.0,58.83989999999999,99.63556400000002,78.32081022499999
1000015,beam,218,12.418125,45.66757707421875,77.330431,60.890102765624995
1000015,beam,219,2.201625,8.09646217734375,13.710009,10.795282903124999
1000015,beam,365,7.680625,28.24545043359375,47.828963,37.660600578125
1000015,beam,370,7.680625,28.24545043359375,47.828963,37.660600578125
1000015,wall,501,8.8065,32.385848709375,54.840037,43.181131612499996
1000016,beam,370,7.680625,28.24545043359375,47.828962000000004,37.660600578125
1000016,beam,377,7.67605,28.228625899687497,47.800474,33.076825268374996
1000016,beam,392,16.476225,60.59121446109374,102.601123,80.65589617312499
1000016,beam,395,4.081499000000001,15.009687063131253,25.416403,20.008964984890003
1000016,wall,601,5.232691,19.24318844818125,32.585133000000006,25.652518482185
1000017,beam,220,19.1615,70.466296490625,119.322929,46.977521413
1000017,beam,221,12.215,44.920586156249996,76.065526,29.947051329999997
1000017,beam,223,13.09,48.13839318749999,81.514346,32.09225558
1000017,beam,225,13.035,47.93613103125,81.171849,31.957414169999996
1000018,beam,221,21.155,77.79738028124999,131.736897,103.102214775
1000018,beam,222,24.0,88.25984999999999,149.453346,70.60788
1000018,beam,224,19.16,70.46078025,119.31358800000001,78.25706699999999
1000018,beam,226,19.285,70.92046696875,120.09199100000001,64.983766225
1000019,beam,276,0.69375,2.551261289062499,4.320136000000001,3.3552599796449996
1000019,beam,280,3.515625,12.92868896484375,21.89258,17.003010032925
1000019,beam,281,0.07985400000000001,0.2936625859125,0.497266,0.310518746265
1000019,beam,282,4.48125,16.4797688671875,27.905742,21.97302515625
1000019,beam,470,2.821875,10.377427675781249,17.572444,13.64775005328
