punto,P_kN,M_kNm,phi_1_m,eps0
A,13560.83891840862,0.0,0.0,0.003
B,13213.739739917486,1047.8086048031137,0.004285714285714286,0.0015
C,6367.563300305559,1741.580997887212,0.007974481658692186,0.00020893141945773516
D,5690.418670129784,1680.061932888526,0.009569377990430622,-0.0003492822966507177
E,3411.987945785679,1495.7393326712058,0.012759170653907496,-0.0014657097288676237
F,0.0,763.0823359444464,0.03292312558605458,-0.008523093955119103
G,-2554.4918184869325,0.0,0.0,-0.002
