caso,elemento,tipo,eje,x_m,y_m,z_inferior_m,z_superior_m,nodo_inferior,nodo_superior,elementos_superiores,elementos_inferiores,P_compresion_kN,P_superior_kN,aporte_neto_nudo_kN,continuidad_nodal
G,47,COLUMN,H,30.0,0.0,7.92,11.88,200301,300301,73,21,2532.3809887470625,1885.4051925144956,646.9757962325668,OK
G,48,COLUMN,I,40.0,0.0,7.92,11.88,200401,300401,74,22,1372.6285090953484,955.4088593646795,417.21964973066883,OK
G,49,COLUMN,I_prima,45.0,0.0,7.92,11.88,200451,300451,75,23,1404.0484128567384,1241.8440563334311,162.2043565233073,OK
G,50,COLUMN,E,0.0,7.25,7.92,11.88,201001,301001,76,24,993.8169986068508,672.4381216038023,321.3788770030485,OK
G,51,COLUMN,F,10.0,7.25,7.92,11.88,201101,301101,77,25,2253.1963566175723,1539.3361370111174,713.8602196064548,OK
G,52,COLUMN,G,20.0,7.25,7.92,11.88,201201,301201,78,26,2491.4283213566837,1661.5263373005077,829.9019840561759,OK
G,53,COLUMN,H,30.0,7.25,7.92,11.88,201301,301301,79,27,2511.504178183472,1668.5527914824188,842.9513867010533,OK
G,54,COLUMN,I,40.0,7.25,7.92,11.88,201401,301401,80,28,1812.1332827287058,1136.449112836252,675.6841698924538,OK
G,55,COLUMN,I_prima,45.0,7.25,7.92,11.88,201451,301451,81,29,1953.4272043858653,1684.6586537159235,268.76855066994176,OK
G,56,COLUMN,E,0.0,16.15,7.92,11.88,202001,302001,82,30,577.1392159998982,-65.7946877898529,642.9339037897511,OK
G,57,COLUMN,F,10.0,16.15,7.92,11.88,202101,302101,83,31,1730.784147998488,1151.701602094941,579.0825459035468,OK
G,58,COLUMN,G,20.0,16.15,7.92,11.88,202201,302201,84,32,1831.3377244958092,1213.5788796087477,617.7588448870615,OK
G,59,COLUMN,H,30.0,16.15,7.92,11.88,202301,302301,85,33,1869.5506024763795,1239.387444439902,630.1631580364774,OK
G,60,COLUMN,I,40.0,16.15,7.92,11.88,202401,302401,86,34,1335.4584468576845,829.1976420303182,506.2608048273663,OK
G,61,COLUMN,I_prima,45.0,16.15,7.92,11.88,202451,302451,87,35,1470.6209822362757,1275.9557202451101,194.6652619911656,OK
G,62,COLUMN,1B,-20.8,16.15,7.92,11.88,702001,703001,88,36,1827.6260215705593,1174.8869455446115,652.7390760259477,OK
G,63,COLUMN,1C,-10.8,16.15,7.92,11.88,702002,703002,89,37,1858.4444194700936,1208.9159922984488,649.5284271716448,OK
G,64,COLUMN,1D,-0.8,16.15,7.92,11.88,702003,703003,90,38,499.08186051294587,737.1527519865837,-238.0708914736378,OK
G,65,COLUMN,2A,-28.3,7.25,7.92,11.88,702004,703004,91,39,2011.6538531729607,1294.9216741543219,716.7321790186388,OK
G,66,COLUMN,2B,-20.8,7.25,7.92,11.88,702005,703005,92,40,2297.4320282732365,1500.1728358025064,797.2591924707301,OK
G,67,COLUMN,2C,-10.8,7.25,7.92,11.88,702006,703006,93,41,2440.9580528291203,1594.3216882432037,846.6363645859167,OK
G,68,COLUMN,3B,-20.8,0.0,7.92,11.88,702007,703007,94,42,1459.1921283847055,944.285671907122,514.9064564775834,OK
G,69,COLUMN,3C,-10.8,0.0,7.92,11.88,702008,703008,95,43,1506.8243010625583,989.5051913004083,517.31910976215,OK
G,70,COLUMN,E,0.0,0.0,11.88,15.84,300001,400001,96,44,532.5812566385354,243.8500001392912,288.7312564992442,OK
G,71,COLUMN,F,10.0,0.0,11.88,15.84,300101,400101,97,45,1284.3106553928415,652.193685746611,632.1169696462305,OK
G,72,COLUMN,G,20.0,0.0,11.88,15.84,300201,400201,98,46,1865.9005713634044,1100.304142392636,765.5964289707683,OK
G,73,COLUMN,H,30.0,0.0,11.88,15.84,300301,400301,99,47,1885.4051925144956,1105.4551685767235,779.9500239377721,OK
G,74,COLUMN,I,40.0,0.0,11.88,15.84,300401,400401,100,48,955.4088593646795,599.0651673264861,356.34369203819347,OK
G,75,COLUMN,I_prima,45.0,0.0,11.88,15.84,300451,400451,101,49,1241.8440563334311,632.9702355715019,608.8738207619292,OK
G,76,COLUMN,E,0.0,7.25,11.88,15.84,301001,401001,103,50,672.4381216038023,411.4394065652921,260.9987150385102,OK
G,77,COLUMN,F,10.0,7.25,11.88,15.84,301101,401101,104,51,1539.3361370111174,774.3083578636706,765.0277791474468,OK
G,78,COLUMN,G,20.0,7.25,11.88,15.84,301201,401201,105,52,1661.5263373005077,832.0215571224421,829.5047801780656,OK
G,79,COLUMN,H,30.0,7.25,11.88,15.84,301301,401301,106,53,1668.5527914824188,825.6904520892165,842.8623393932023,OK
G,80,COLUMN,I,40.0,7.25,11.88,15.84,301401,401401,107,54,1136.449112836252,554.6588764201708,581.7902364160811,OK
G,81,COLUMN,I_prima,45.0,7.25,11.88,15.84,301451,401451,108,55,1684.6586537159235,824.2591538926506,860.3994998232729,OK
G,82,COLUMN,E,0.0,16.15,11.88,15.84,302001,402001,110,56,-65.7946877898529,605.6743306423261,-671.469018432179,OK
G,83,COLUMN,F,10.0,16.15,11.88,15.84,302101,402101,111,57,1151.701602094941,552.6090132225355,599.0925888724056,OK
G,84,COLUMN,G,20.0,16.15,11.88,15.84,302201,402201,112,58,1213.5788796087477,599.518546568071,614.0603330406767,OK
G,85,COLUMN,H,30.0,16.15,11.88,15.84,302301,402301,113,59,1239.387444439902,608.9528989151349,630.4345455247671,OK
G,86,COLUMN,I,40.0,16.15,11.88,15.84,302401,402401,114,60,829.1976420303182,397.0229064258774,432.1747356044408,OK
G,87,COLUMN,I_prima,45.0,16.15,11.88,15.84,302451,402451,115,61,1275.9557202451101,621.18860249141,654.7671177537001,OK
G,88,COLUMN,1B,-20.8,16.15,11.88,15.84,703001,704001,117,62,1174.8869455446115,524.3605155203612,650.5264300242503,OK
G,89,COLUMN,1C,-10.8,16.15,11.88,15.84,703002,704002,118,63,1208.9159922984488,595.11816050317,613.7978317952789,OK
G,90,COLUMN,1D,-0.8,16.15,11.88,15.84,703003,704003,119,64,737.1527519865837,23.786029575000004,713.3667224115836,OK
G,91,COLUMN,2A,-28.3,7.25,11.88,15.84,703004,704004,120,65,1294.9216741543219,582.4512795231101,712.4703946312118,OK
G,92,COLUMN,2B,-20.8,7.25,11.88,15.84,703005,704005,121,66,1500.1728358025064,707.511159343683,792.6616764588234,OK
G,93,COLUMN,2C,-10.8,7.25,11.88,15.84,703006,704006,122,67,1594.3216882432037,755.2192420652641,839.1024461779396,OK
G,94,COLUMN,3B,-20.8,0.0,11.88,15.84,703007,704007,123,68,944.285671907122,425.68561491778456,518.6000569893374,OK
G,95,COLUMN,3C,-10.8,0.0,11.88,15.84,703008,704008,124,69,989.5051913004083,472.8592830845443,516.645908215864,OK
G,96,COLUMN,E,0.0,0.0,15.84,19.8,400001,500001,,70,243.8500001392912,0,243.8500001392912,OK
