caso,elemento,Ni_kN,Vyi_kN,Vzi_kN,Ti_kNm,Myi_kNm,Mzi_kNm,Nj_kN,Vyj_kN,Vzj_kN,Tj_kNm,Myj_kNm,Mzj_kNm
G,1,547.2465425870762,-0.598156837122449,0.04189329763872189,3.0476191806983707e-09,-0.05529902246303619,-0.7895670622800639,-499.67448343707616,0.598156837122449,-0.04189329763872189,-3.0476191806983707e-09,-0.11059843618630248,-1.5791340127248341
G,2,988.8698069305992,-3.9569972832103835,1.836875539861392,2.9655459887868512e-09,-2.4246755711480086,-5.223236303746941,-941.2977477805993,3.9569972832103835,-1.836875539861392,-2.9655459887868512e-09,-4.8493515667031035,-10.446472937766178
G,3,3166.8734926531292,8.704408249060574,-4.919019972968703,3.048235644220013e-09,6.493106375370348,11.489818811955448,-3119.3014335031294,-8.704408249060574,4.919019972968703,-3.048235644220013e-09,12.986212717585717,22.979637854324416
G,4,587.3767828883186,19.561423829333698,10.661759991387399,3.045997217474927e-09,-14.073523097757416,25.821079389009896,-539.8047237383187,-19.561423829333698,-10.661759991387399,-3.045997217474927e-09,-28.147046468136683,51.64215897515154
G,5,3544.2852643820984,-54.34666957860136,9.205972959806457,3.048235562480549e-09,-12.151884209063121,-71.73760356527697,-3496.7132052320985,54.34666957860136,-9.205972959806457,-3.048235562480549e-09,-24.303768711770452,-143.4752079659844
G,6,3696.7169598955766,1.4857610622681146,-3.1489193412302012,3.048235644220013e-09,4.156573555331352,1.9612045685010864,-3649.1449007455767,-1.4857610622681146,3.1489193412302012,-3.048235644220013e-09,8.313147035940244,3.922409238080647
G,7,766.951649213207,14.152886180013331,-25.192472104115666,3.070975104011613e-09,33.25406320235956,18.681809731345258,-719.379590063207,-14.152886180013331,25.192472104115666,-3.070975104011613e-09,66.50812632993846,37.363619541507525
G,8,978.1182500932972,-8.957695206619418,-0.30121674981792373,3.3939972341234452e-09,0.3976061855635507,-11.824157514972455,-930.5461909432972,8.957695206619418,0.30121674981792373,-3.3939972341234452e-09,0.7952121437154273,-23.648315503240436
G,9,2364.7038971023812,0.5999086755763489,10.938645383176704,3.048235644220013e-09,-14.439011770612456,0.7918794085601487,-2317.1318379523814,-0.5999086755763489,-10.938645383176704,-3.048235644220013e-09,-28.87802394676729,1.5837589467221924
G,10,3043.5325069522364,-16.361766201568987,-37.286972437547426,-5.590269288173772e-09,49.21880346063996,-21.597531263706024,-2995.9604478022366,16.361766201568987,37.286972437547426,5.590269288173772e-09,98.43760739204784,-43.195062894507146
G,11,2971.2751666507224,3.7854887871256553,-40.630644457440184,-5.5902692869164625e-09,53.632450546942415,4.9968452376243,-2923.7031075007226,-3.7854887871256553,40.630644457440184,5.5902692869164625e-09,107.2649015045207,9.993690359393295
G,12,501.4095704122051,0.07192445458086875,0.2849646565154855,-5.588794813845437e-09,-0.3761532491787628,0.0949403318780217,-453.83751126220506,-0.07192445458086875,-0.2849646565154855,5.588794813845437e-09,-0.75230679062256,0.1898805082622185
G,13,3665.175327695838,44.184001222787536,7.223942894912769,-5.590269444350671e-09,-9.535604619542864,58.32288145519699,-3617.603268545838,-44.184001222787536,-7.223942894912769,5.590269444350671e-09,-19.071209244311696,116.64576338704165
G,14,4148.434826145784,25.146500357636665,13.015294179128936,-5.590269279811448e-09,-17.180188265243277,33.19338039301425,-4100.862766995784,-25.146500357636665,-13.015294179128936,5.590269279811448e-09,-34.36037668410731,66.38676102322694
G,15,4534.203993554867,3.1574216911780053,14.178249586896882,-5.590269286534901e-09,-18.71528936486574,4.167796640208229,-4486.631934404867,-3.1574216911780053,-14.178249586896882,5.590269286534901e-09,-37.43057899924591,8.335593256856672
G,16,2362.281338716517,-10.537513165924848,23.112264404175953,-5.590269295996194e-09,-30.508188921176913,-13.909517335878327,-2314.709279566517,10.537513165924848,-23.112264404175953,5.590269295996194e-09,-61.01637811935986,-27.819034801184063
G,17,2314.880754782344,2.570101210971409,25.45358061760342,-5.590269283074462e-09,-33.59872627965434,3.3925335848352733,-2267.308695632344,-2.570101210971409,-25.45358061760342,5.590269283074462e-09,-67.1974529660552,6.785067210611505
G,18,443.47779614342517,-0.4464137714047933,0.22446170777936175,-1.0676666829123588e-08,-0.4565774124539209,-1.095724798110381,-395.9057369934252,0.4464137714047933,-0.22446170777936175,1.0676666829123588e-08,-0.43229095035235154,-0.6720737366526004
G,19,2708.322048137222,28.010652928349437,-46.002747931029404,-1.0623198487377923e-08,58.19396300248947,32.03393386074251,-2660.749988987222,-28.010652928349437,46.002747931029404,1.0623198487377923e-08,123.97691880438697,78.88825173552125
