P_objetivo_kN,phi_1_m,M_kNm,P_seccion_kN,eps0,eps_c_extrema,eps_s_max_abs
0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.00025,53.69196356787607,-2.2093438190040615e-12,4.374445520513411e-05,-4.375554479486589e-05,0.00011299445520513411
0.0,0.0005,107.20668948907432,-7.167599846980011e-13,8.727252219775222e-05,-8.772747780224778e-05,0.0002257725221977522
0.0,0.00075,160.5406267168773,-1.1528555887707626e-12,0.00013057931012016235,-0.00013192068987983763,0.00033832931012016236
0.0,0.001,213.69008820965018,4.1389114358025836e-13,0.00017365972819781859,-0.0001763402718021814,0.0004506597281978185
0.0,0.00125,266.6512431602771,5.719869022868806e-13,0.00021650847405338758,-0.00022099152594661238,0.0005627584740533876
0.0,0.0015,319.4201086376693,1.1723955140041653e-13,0.00025912002112529216,-0.0002658799788747078,0.0006746200211252922
0.0,0.00175,371.9925405847329,3.439026841078885e-12,0.0003014886051053049,-0.0003110113948946951,0.0007862386051053048
0.0,0.002,424.3642241107891,1.2789769243681803e-12,0.00034360820929995234,-0.00035639179070004766,0.0008976082092999522
0.0,0.0022500000000000003,476.5306630092744,6.302514066192089e-12,0.0003854725488093584,-0.0004020274511906416,0.0010087225488093583
0.0,0.0025000000000000005,528.4871684233298,2.3234747459355276e-12,0.0004270750534045037,-0.0004479249465954964,0.0011195750534045037
0.0,0.0027500000000000007,580.2288465725735,2.5792701308091637e-12,0.00046840884896942034,-0.0004940911510305799,0.0012301588489694204
0.0,0.003000000000000001,631.750585443675,-3.552713678800501e-13,0.0005094667373583813,-0.0005405332626416189,0.0013404667373583814
0.0,0.003250000000000001,683.0470403351738,-1.5489831639570184e-12,0.0005502411744992382,-0.000587258825500762,0.0014504911744992383
0.0,0.0035000000000000014,734.1126181329525,5.9117155615240335e-12,0.0005907242465523628,-0.0006342757534476376,0.001560224246552363
0.0,0.0037500000000000016,784.941460176661,1.0160761121369433e-12,0.0006309076439096987,-0.0006815923560903018,0.0016696576439096992
0.0,0.004000000000000002,835.5274235588311,5.4001247917767614e-12,0.0006707826327895718,-0.0007292173672104288,0.0017787826327895723
0.0,0.004250000000000002,885.8640606768548,-5.165645688975928e-12,0.0007103400241495793,-0.0007771599758504212,0.0018875900241495797
0.0,0.004500000000000002,935.9445968330771,-4.604316927725449e-12,0.0007495701396010845,-0.0008254298603989162,0.001996070139601085
0.0,0.0047500000000000025,952.6085328398771,-3.346656285430072e-11,0.0008028696389548007,-0.0008596303610452,0.0021186196389548014
0.0,0.005000000000000003,967.9588118822412,6.59383658785373e-12,0.0008565740528478002,-0.0008934259471522007,0.002241574052847801
0.0,0.005250000000000003,983.2459010061059,-2.1032064978498966e-12,0.0009101465206937835,-0.0009273534793062173,0.002364396520693784
0.0,0.005500000000000003,998.468804345032,-9.265477274311706e-12,0.0009635847078782668,-0.0009614152921217341,0.002487084707878268
0.0,0.005750000000000003,1013.6264962797835,1.0388134796812665e-11,0.0010168862046780179,-0.0009956137953219834,0.0026096362046780187
0.0,0.006000000000000004,1028.7179201082583,-6.409095476556104e-12,0.0010700485228181701,-0.001029951477181831,0.0027320485228181706
0.0,0.006250000000000004,1043.7419866369144,-2.1316282072803006e-13,0.0011230690918230984,-0.0010644309081769027,0.002854319091823099
0.0,0.006500000000000004,1051.3901923611413,-6.87805368215777e-12,0.00118052104193619,-0.0010944789580638115,0.002981021041936191
0.0,0.006750000000000004,1057.9170765615136,-7.489120434911456e-12,0.0012385506431283864,-0.001123949356871615,0.0031083006431283874
0.0,0.0070000000000000045,1064.14031190461,-8.286221486741852e-09,0.001297783728697349,-0.0011522162713026522,0.00323678372869735
0.0,0.007250000000000005,1070.3266098735055,4.902744876744691e-12,0.00135695361407737,-0.0011805463859226315,0.003365203614077371
0.0,0.007500000000000005,1076.4816885594494,1.6484591469634324e-12,0.0014160300123163567,-0.0012089699876836448,0.003493530012316358
0.0,0.007750000000000005,1082.6051318219577,7.915446076367516e-12,0.001475011537150746,-0.0012374884628492558,0.003621761537150747
0.0,0.008000000000000005,1088.6965131277032,4.547473508864641e-13,0.0015338967660709568,-0.001266103233929045,0.0037498967660709584
0.0,0.008250000000000006,1094.7553707803768,-1.8758328224066645e-12,0.0015926793464083918,-0.0012948206535916098,0.003877929346408393
0.0,0.008500000000000006,1100.7812479991776,6.579625733138528e-12,0.001651359901274295,-0.001323640098725707,0.004005859901274297
0.0,0.008750000000000006,1106.7736769113078,5.343281372915953e-12,0.001709937499954387,-0.0013525625000456148,0.004133687499954388
0.0,0.009000000000000006,1112.732174654986,-1.0686562745831907e-11,0.0017684104837590413,-0.001381589516240961,0.004261410483759043
0.0,0.009250000000000006,1118.6562452472065,-2.2168933355715126e-12,0.0018267771451479205,-0.0014107228548520816,0.004389027145147922
0.0,0.009500000000000007,1124.545379048285,8.668621376273222e-13,0.0018850357256826895,-0.0014399642743173125,0.004516535725682691
0.0,0.009750000000000007,1130.3990521975913,1.7053025658242404e-13,0.001943184413867671,-0.0014693155861323314,0.0046439344138676725
0.0,0.010000000000000007,1136.1377670930783,3.851141627819743e-12,0.002001315282748698,-0.001498684717251304,0.004771315282748699
0.0,0.010250000000000007,1138.024005014603,-1.1368683772161603e-11,0.002064626794481959,-0.0015228732055180432,0.004903876794481961
0.0,0.010500000000000008,1139.7754582948185,9.492850949754938e-12,0.0021285738550084208,-0.0015464261449915817,0.005037073855008423
0.0,0.010750000000000008,1141.5120291673288,6.0822458181064576e-12,0.0021924527574125334,-0.001570047242587469,0.005170202757412535
0.0,0.011000000000000008,1143.2335428286153,5.5138116294983774e-12,0.0022562626134545265,-0.0015937373865454762,0.005303262613454528
0.0,0.011250000000000008,1144.9398206432934,1.3784529073745944e-12,0.0023200025145960765,-0.0016174974854039261,0.005436252514596078
0.0,0.011500000000000008,1146.6306800218586,3.808509063674137e-12,0.002383671531342229,-0.0016413284686577737,0.005569171531342231
0.0,0.011750000000000009,1148.3059342932656,-7.673861546209082e-12,0.002447268712555616,-0.0016652312874443865,0.005702018712555618
0.0,0.012000000000000009,1149.965392572152,1.9753088054130785e-12,0.0025107930847414845,-0.0016892069152585187,0.005834793084741487
0.0,0.01225000000000001,1151.6088596204063,2.2168933355715126e-12,0.0025742436513020365,-0.0017132563486979666,0.005967493651302039
0.0,0.01250000000000001,1153.236135702794,1.8758328224066645e-12,0.0026376193917584034,-0.0017373806082415996,0.006100119391758405
0.0,0.01275000000000001,1154.847016436283,-5.172751116333529e-12,0.0027009192609385637,-0.0017615807390614392,0.006232669260938566
0.0,0.01300000000000001,1156.4412926328132,-2.3305801732931286e-12,0.002764142188129361,-0.001785857811870642,0.0063651421881293635
0.0,0.01325000000000001,1158.018750135048,-3.922195901395753e-12,0.0028272870761906245,-0.001810212923809379,0.006497537076190627
0.0,0.01350000000000001,1159.5791696448014,7.545963853772264e-12,0.0028903528006293385,-0.001834647199370665,0.006629852800629341
0.0,0.01375000000000001,1161.122326543701,5.6132876125047915e-12,0.0029533382086316265,-0.0018591617913683769,0.006762088208631629
0.0,0.01400000000000001,1162.6479907056835,-6.87805368215777e-12,0.003016242118050148,-0.0018837578819498554,0.0068942421180501505
0.0,0.014250000000000011,1164.1557487537837,1.4068746168049984e-12,0.0030790400088200093,-0.001908459991179994,0.007026290008820012
0.0,0.014500000000000011,1165.6454415641397,1.2747136679536197e-11,0.0031417479518268364,-0.0019332520481731676,0.007158247951826839
0.0,0.014750000000000011,1167.116823573478,5.115907697472721e-13,0.003204366730700525,-0.001958133269299479,0.007290116730700527
0.0,0.015000000000000012,1168.5609866523182,-1.3457679415296298e-11,0.003266996246808984,-0.0019830037531910196,0.007421996246808987
0.0,0.015250000000000012,1169.8735376228824,-6.636469151999336e-12,0.0033308612470339845,-0.0020066387529660192,0.007555111247033988
0.0,0.015500000000000012,1171.170970435482,8.355982572538778e-12,0.003394637412359102,-0.0020303625876409016,0.007688137412359105
0.0,0.01575000000000001,1172.4530538467275,-4.263256414560601e-14,0.0034583232357079047,-0.002054176764292099,0.007821073235707906
0.0,0.01600000000000001,1173.7195499959876,-1.4352963262354024e-12,0.003521917165069636,-0.0020780828349303672,0.00795391716506964
0.0,0.01625000000000001,1174.9702141290174,-5.286437954055145e-12,0.0035854176015932657,-0.0021020823984067376,0.008086667601593269
