kind,id,type,i,j,x_m,y_m,z_m,level,status
N,302201,NODE,,,,20.0,16.15,11.88,3,MANUAL
N,302301,NODE,,,,30.0,16.15,11.88,3,MANUAL
N,302401,NODE,,,,40.0,16.15,11.88,3,MANUAL
N,302451,NODE,,,,45.0,16.15,11.88,3,MANUAL
N,703001,NODE,,,,-20.8,16.15,11.88,3,MANUAL
N,703002,NODE,,,,-10.8,16.15,11.88,3,MANUAL
N,703003,NODE,,,,-0.8,16.15,11.88,3,MANUAL
N,703004,NODE,,,,-28.3,7.25,11.88,3,MANUAL
N,703005,NODE,,,,-20.8,7.25,11.88,3,MANUAL
N,703006,NODE,,,,-10.8,7.25,11.88,3,MANUAL
N,703007,NODE,,,,-20.8,0.0,11.88,3,MANUAL
N,703008,NODE,,,,-10.8,0.0,11.88,3,MANUAL
N,400001,NODE,,,,0.0,0.0,15.84,4,MANUAL
N,400101,NODE,,,,10.0,0.0,15.84,4,MANUAL
N,400201,NODE,,,,20.0,0.0,15.84,4,MANUAL
N,400301,NODE,,,,30.0,0.0,15.84,4,MANUAL
N,400401,NODE,,,,40.0,0.0,15.84,4,MANUAL
N,400451,NODE,,,,45.0,0.0,15.84,4,MANUAL
N,400501,NODE,,,,50.0,0.0,15.84,4,MANUAL
N,401001,NODE,,,,0.0,7.25,15.84,4,MANUAL
N,401101,NODE,,,,10.0,7.25,15.84,4,MANUAL
N,401201,NODE,,,,20.0,7.25,15.84,4,MANUAL
N,401301,NODE,,,,30.0,7.25,15.84,4,MANUAL
N,401401,NODE,,,,40.0,7.25,15.84,4,MANUAL
N,401451,NODE,,,,45.0,7.25,15.84,4,MANUAL
N,401501,NODE,,,,50.0,7.25,15.84,4,MANUAL
N,402001,NODE,,,,0.0,16.15,15.84,4,MANUAL
N,402101,NODE,,,,10.0,16.15,15.84,4,MANUAL
N,402201,NODE,,,,20.0,16.15,15.84,4,MANUAL
N,402301,NODE,,,,30.0,16.15,15.84,4,MANUAL
N,402401,NODE,,,,40.0,16.15,15.84,4,MANUAL
N,402451,NODE,,,,45.0,16.15,15.84,4,MANUAL
N,402501,NODE,,,,50.0,16.15,15.84,4,MANUAL
N,704001,NODE,,,,-20.8,16.15,15.84,4,MANUAL
N,704002,NODE,,,,-10.8,16.15,15.84,4,MANUAL
N,704003,NODE,,,,-0.8,16.15,15.84,4,MANUAL
N,704004,NODE,,,,-28.3,7.25,15.84,4,MANUAL
N,704005,NODE,,,,-20.8,7.25,15.84,4,MANUAL
N,704006,NODE,,,,-10.8,7.25,15.84,4,MANUAL
N,704007,NODE,,,,-20.8,0.0,15.84,4,MANUAL
N,704008,NODE,,,,-10.8,0.0,15.84,4,MANUAL
N,500001,NODE,,,,0.0,0.0,19.8,5,MANUAL
N,500101,NODE,,,,10.0,0.0,19.8,5,MANUAL
N,500201,NODE,,,,20.0,0.0,19.8,5,MANUAL
N,500301,NODE,,,,30.0,0.0,19.8,5,MANUAL
N,500401,NODE,,,,40.0,0.0,19.8,5,MANUAL
N,500451,NODE,,,,45.0,0.0,19.8,5,MANUAL
N,500501,NODE,,,,50.0,0.0,19.8,5,MANUAL
N,501001,NODE,,,,0.0,7.25,19.8,5,MANUAL
N,501101,NODE,,,,10.0,7.25,19.8,5,MANUAL
N,501201,NODE,,,,20.0,7.25,19.8,5,MANUAL
N,501301,NODE,,,,30.0,7.25,19.8,5,MANUAL
N,501401,NODE,,,,40.0,7.25,19.8,5,MANUAL
N,501451,NODE,,,,45.0,7.25,19.8,5,MANUAL
N,501501,NODE,,,,50.0,7.25,19.8,5,MANUAL
