P_objetivo_kN,phi_1_m,M_kNm,P_seccion_kN,eps0,eps_c_extrema,eps_s_max_abs
0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.00025,33.84314903870755,-2.496447493172127e-11,4.7084600452672906e-05,-4.041539954732709e-05,0.0001195846004526729
0.0,0.0005,67.59434174490656,4.1033842990145786e-13,9.397302616651186e-05,-8.102697383348814e-05,0.00023897302616651185
0.0,0.00075,101.2517637276168,-5.480060849549773e-13,0.0001406609119466253,-0.00012183908805337467,0.0003581609119466253
0.0,0.001,134.8135322147602,4.991562718714704e-13,0.000187143718170778,-0.000162856281829222,0.000477143718170778
0.0,0.00125,168.27769222811565,-0.0,0.00023341672082658133,-0.00020408327917341863,0.0005959167208265813
0.0,0.0015,201.64221247534982,9.805489753489383e-13,0.00027947500080309083,-0.00024552499919690913,0.0007144750008030909
0.0,0.00175,234.9049809329718,-8.775202786637237e-13,0.00032531343236744684,-0.00028718656763255314,0.0008328134323674467
0.0,0.002,268.0638000911703,1.9539925233402755e-13,0.00037092667074934376,-0.00032907332925065624,0.0009509266707493438
0.0,0.0022500000000000003,301.1163818281547,-5.435651928564766e-13,0.0004163091387473544,-0.0003711908612526456,0.0010688091387473545
0.0,0.0025000000000000005,334.06034187791823,-8.526512829121202e-13,0.0004614550122611216,-0.00041354498773887855,0.0011864550122611217
0.0,0.0027500000000000007,366.8931938510898,1.4779288903810084e-12,0.0005063582046421244,-0.0004561417953578758,0.0013038582046421246
0.0,0.003000000000000001,399.6126568575634,2.8137492336099967e-12,0.0005510281575368888,-0.0004989718424631114,0.0014210281575368889
0.0,0.003250000000000001,432.21832926215484,9.734435479913373e-13,0.0005955502476468879,-0.0005419497523531123,0.0015380502476468882
0.0,0.0035000000000000014,464.70623728156204,-1.6200374375330284e-12,0.0006398329354570343,-0.0005851670645429661,0.0016548329354570345
0.0,0.0037500000000000016,497.07370752119715,4.675371201301459e-12,0.0006838700840911189,-0.0006286299159088816,0.0017713700840911192
0.0,0.004000000000000002,529.3179501979284,6.181721801112872e-13,0.0007276552703531609,-0.0006723447296468398,0.0018876552703531613
0.0,0.004250000000000002,561.4360515396647,-3.126388037344441e-12,0.0007711817655784029,-0.0007163182344215977,0.0020036817655784034
0.0,0.004500000000000002,589.4546568563128,-9.895444463836611e-10,0.0008167980160654369,-0.0007582019839345637,0.0021217980160654374
0.0,0.0047500000000000025,597.8146394427948,-5.481256692974057e-08,0.0008739165112720026,-0.0007885834887279982,0.002251416511272003
0.0,0.005000000000000003,605.9990258251195,-1.3145040611561853e-12,0.0009319621492873412,-0.0008180378507126597,0.002381962149287342
0.0,0.005250000000000003,614.1575408051082,-8.526512829121202e-13,0.0009899089605013977,-0.0008475910394986031,0.0025124089605013987
0.0,0.005500000000000003,622.2898334080567,6.494360604847316e-12,0.0010477554366253722,-0.0008772445633746287,0.002642755436625373
0.0,0.005750000000000003,630.3955436340142,-2.6147972675971687e-12,0.0011055000275661322,-0.000906999972433869,0.002773000027566133
0.0,0.006000000000000004,638.4743021075686,4.82458517581108e-12,0.00116314113975845,-0.0009368588602415512,0.002903141139758451
0.0,0.006250000000000004,646.5257297131106,-1.8118839761882555e-12,0.0012206771344309027,-0.0009668228655690984,0.0030331771344309037
0.0,0.006500000000000004,654.5494372114015,-1.4850343177386094e-12,0.0012781063257814927,-0.0009968936742185087,0.0031631063257814935
0.0,0.006750000000000004,662.5450248362167,3.709033080667723e-12,0.0013354269790572919,-0.0010270730209427095,0.0032929269790572925
0.0,0.0070000000000000045,670.5120818698173,7.510436716984259e-12,0.0013926373085317379,-0.0010573626914682633,0.003422637308531739
0.0,0.007250000000000005,674.977611881164,1.9895196601282805e-12,0.001453498258593097,-0.0010840017414069046,0.0035559982585930978
0.0,0.007500000000000005,677.1701724815324,1.5774048733874224e-12,0.0015177245733392838,-0.0011072754266607176,0.003692724573339285
0.0,0.007750000000000005,679.2917525395261,3.140598892059643e-12,0.001582337274300794,-0.0011301627256992079,0.003829837274300795
0.0,0.008000000000000005,681.4039284630055,-1.7053025658242404e-12,0.0016468927966664447,-0.001153107203333557,0.003966892796666446
0.0,0.008250000000000006,683.5066051641743,-4.249045559845399e-12,0.001711390493835083,-0.0011761095061649186,0.004103890493835085
0.0,0.008500000000000006,685.5996857485329,-4.718003765447065e-12,0.0017758297062639933,-0.0011991702937360087,0.004240829706263995
0.0,0.008750000000000006,687.6830714645812,1.3073986337985843e-12,0.0018402097611017374,-0.0012222902388982645,0.004377709761101739
0.0,0.009000000000000006,689.7566616516873,-1.9895196601282805e-12,0.0019045299718074397,-0.0012454700281925625,0.004514529971807442
0.0,0.009250000000000006,691.8203536860384,-5.286437954055145e-12,0.0019687896377559412,-0.0012687103622440609,0.004651289637755943
0.0,0.009500000000000007,693.8740429245881,8.952838470577262e-13,0.0020329880438281563,-0.0012920119561718457,0.004787988043828158
0.0,0.009750000000000007,695.9176226469003,4.718003765447065e-12,0.0020971244599859583,-0.001315375540014044,0.00492462445998596
0.0,0.010000000000000007,697.9509839948144,2.7000623958883807e-13,0.0021611981408308435,-0.0013388018591691587,0.0050611981408308455
0.0,0.010250000000000007,699.9740159098037,-7.531752999057062e-13,0.002225208325145657,-0.001362291674854345,0.005197708325145659
0.0,0.010500000000000008,701.9866050679275,2.5153212845907547e-12,0.0022891542354185382,-0.0013858457645814642,0.00533415423541854
0.0,0.010750000000000008,703.8767761117982,-3.291233952040784e-11,0.0023543668006362475,-0.0014081331993637549,0.00547186680063625
0.0,0.011000000000000008,705.7512285224354,-4.547473508864641e-13,0.0024196032716446987,-0.001430396728355304,0.005609603271644701
0.0,0.011250000000000008,707.6172581643398,3.225864020350855e-12,0.002484775765875456,-0.0014527242341245464,0.005747275765875458
0.0,0.011500000000000008,709.474766899009,1.5774048733874224e-12,0.002549883448246727,-0.0014751165517532757,0.005884883448246728
0.0,0.011750000000000009,711.3236544327992,1.1368683772161603e-13,0.00261492546425041,-0.0014975745357495925,0.006022425464250412
0.0,0.012000000000000009,713.163818247199,-1.4210854715202004e-12,0.0026799009393105645,-0.0015200990606894387,0.006159900939310566
0.0,0.01225000000000001,714.9951535261307,7.673861546209082e-13,0.002744808978114309,-0.0015426910218856943,0.0062973089781143115
0.0,0.01250000000000001,716.817553080178,6.139089236967266e-12,0.0028096486639137197,-0.0015653513360862834,0.006434648663913722
0.0,0.01275000000000001,718.6309072674883,-3.382183422218077e-12,0.002874419057797127,-0.001588080942202876,0.006571919057797129
0.0,0.01300000000000001,720.4351039112354,-5.7980287238024175e-12,0.002939119197928197,-0.001610880802071806,0.006709119197928199
0.0,0.01325000000000001,722.2300282134305,-2.0463630789890885e-12,0.0030037480987510122,-0.0016337519012489914,0.006846248098751015
0.0,0.01350000000000001,724.0155626648819,8.526512829121202e-14,0.0030683047501592767,-0.0016566952498407268,0.006983304750159279
0.0,0.01375000000000001,725.791586951118,4.860112312599085e-12,0.0031327881166276425,-0.001679711883372361,0.007120288116627646
0.0,0.01400000000000001,727.5579778539793,-4.718003765447065e-12,0.0031971971363030506,-0.0017028028636969527,0.007257197136303054
0.0,0.014250000000000011,729.3146091487307,-3.893774191965349e-12,0.0032615307200537487,-0.0017259692799462545,0.007394030720053751
0.0,0.014500000000000011,731.061351496348,-1.9042545318370685e-12,0.003325787750473636,-0.0017492122495263679,0.007530787750473639
