caso,nodo,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
G,202451,-2.3587077742868383e-05,1.6737080147756747e-06,-0.00019646363428377854,2.6378764396086823e-07,-2.484956085564534e-06,4.803425507434131e-10
G,300001,-1.2653977202541248e-05,-2.418065166725987e-05,-0.000608621666334622,-6.606496201866844e-06,-4.486141164332904e-05,7.219164726820886e-07
G,300101,-1.2653977179021394e-05,-1.696148761933173e-05,-0.001562449978516464,0.0002655831840044395,0.00019764152861106605,7.219164708593076e-07
G,300201,-1.2653977656401503e-05,-9.742321637992416e-06,-0.0024962692246886784,6.424461326924054e-05,-5.079914861919012e-05,7.219164708593101e-07
G,300301,-1.2653977099250698e-05,-2.523156841642614e-06,-0.0014945533725227254,3.515106557352666e-05,-0.00010365622064833944,7.219164708593045e-07
G,300401,-1.2653977144421389e-05,4.696007180027786e-06,-0.0007083447503791708,-1.5421146285986275e-05,-0.00013766171023955288,7.219164708593053e-07
G,300451,-1.265397711318222e-05,8.305589573458948e-06,-0.0004577639435805179,-4.641821987073007e-06,6.093585429026731e-06,7.219164708593051e-07
G,301001,-1.7887871596555502e-05,-2.4180651624708215e-05,-0.0008456672801501282,-2.638747223936898e-06,-3.1723239183874415e-05,7.219164708583844e-07
G,301101,-1.788787165144463e-05,-1.696148687118795e-05,-0.0023107776520955225,-1.7961871009242057e-05,0.00022481851454147218,7.21916470859305e-07
G,301201,-1.7887871672382312e-05,-9.742322219137517e-06,-0.002483396866773811,7.5064571768965375e-06,-3.6806326287091495e-05,7.219164708593047e-07
G,301301,-1.7887871595361084e-05,-2.523157511861001e-06,-0.0015869979379258372,6.616572199411588e-06,9.823074607903e-06,7.219164708593053e-07
G,301401,-1.7887871697192534e-05,4.696007221219635e-06,-0.0011992218717926937,-2.4047931170782156e-06,-0.000220099426858745,7.219164708593051e-07
G,301451,-1.7887871500381636e-05,8.305589574596889e-06,-0.0006934101632711238,-1.507529739007452e-07,-5.191856602492471e-06,7.219164708593052e-07
