respuesta,identificador,superpuesta,explicita,error_absoluto_max,error_relativo_max
desplazamientos,"nodo 900116, DOF 3",-0.035558694746103285,-0.035558695246825665,8.793243565577424e-09,2.4728813879531757e-07
reacciones de apoyo,"nodo 700006, DOF 3",7399.035249714557,7399.0352544617335,0.0022956791541446364,3.102673625943742e-07
fuerzas internas,"elemento 15, componente global 3",7370.492014224556,7370.492018971733,0.01567883774123402,2.127244382176455e-06
