wall_id,segmento,z_min_m,z_max_m,identificacion_plano,confianza,length_m,thickness_m,vertical_diameter_mm,vertical_spacing_mm,horizontal_diameter_mm,horizontal_spacing_mm,boundary_bars_each_end,boundary_diameter_mm,boundary_bars_left,boundary_diameter_left_mm,boundary_bars_right,boundary_diameter_right_mm,As_m2,punto,ramal,P_kN,M_kNm,c_m
1,3,7.92,11.88,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,C,+principal,24730.272539716643,20861.92091334656,1.719
1,3,7.92,11.88,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,C,-principal,24730.272539716643,-20861.92091334656,1.719
1,3,7.92,11.88,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,D,+principal,20438.829464469793,20125.294372679935,1.4325
1,3,7.92,11.88,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,D,-principal,20438.829464469793,-20125.294372679935,1.4325
1,3,7.92,11.88,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,E,+principal,15072.43972350886,17794.967415029823,1.074375
1,3,7.92,11.88,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,E,-principal,15072.43972350886,-17794.967415029823,1.074375
1,3,7.92,11.88,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,F,+principal,0.0,2854.382027594047,0.0809538141718229
1,3,7.92,11.88,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,F,-principal,0.0,-2854.382027594047,0.0809538141718229
1,3,7.92,11.88,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,G,+principal,-2013.50956353877,0.0,0.0
1,3,7.92,11.88,M-LT2-1-A'-retorno,alta,2.915,0.6,10,200,10,200,3,22,3,22,3,22,0.004794070389378024,G,-principal,-2013.50956353877,-0.0,0.0
