bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,-7.096210288258996e-11,3.855358421788624e-10,0.0,0.0,4.804558839011602e-12,2.978679279514157e-10,-9.149991419266137e-12
LT2,3.96,0.00010357169470684468,0.0002703960410700532,-31.679999999999996,0.0,-3.605096046738272e-05,0.0005071017322112949,1.686041603103197e-05
LT1,7.92,-0.0003089080652892146,0.0014242229905201775,0.0,0.0,-0.00011962803312845217,0.0009083298456533366,-2.4017913342530124e-05
LT2,7.92,0.0003437109546055289,0.00048700894476338914,-32.05,0.07599999999999985,-0.00011377577206273274,0.001274534514769139,5.5632289562723075e-05
LT1,11.88,0.0006935912426933943,0.003301097019391371,0.0,0.0,-1.2905611623688883e-06,0.005243842953057622,9.303828657163308e-05
LT2,11.88,0.0006350096520248133,0.0005556643480233919,-32.05,0.6589999999999998,-0.00017481842262201419,0.0020559941588166744,0.0001059838346690796
LT1,15.84,0.0016784165989553446,0.005404219814523374,0.0,0.0,0.00019259375102437509,0.010096790243253814,0.00019708812850135308
LT2,15.84,0.0008309726673469493,0.000542719097085905,-32.05,1.2419999999999998,-0.00023850821436568787,0.00270554298863239,0.00015086044431207517
LT1,19.8,0.001944191876990614,0.007574623125875993,0.0,0.0,0.0002562146505637778,0.01353256788020677,0.0002401368491092841
LT2,19.8,0.0010193209587353615,0.0005587459414686776,-32.05,1.825,-9.360574921051879e-05,0.0029477929319487515,0.00017289369165950994
