wall_id,segmento,z_min_m,z_max_m,identificacion_plano,confianza,length_m,thickness_m,vertical_diameter_mm,vertical_spacing_mm,horizontal_diameter_mm,horizontal_spacing_mm,boundary_bars_each_end,boundary_diameter_mm,boundary_bars_left,boundary_diameter_left_mm,boundary_bars_right,boundary_diameter_right_mm,As_m2,separacion_real_vertical_mm,rho_vertical,P_compresion_max_kN,M_P0_kNm,P_traccion_kN,nota,criterio_asignacion
6,1,0.0,7.92,M-LT2-D-D'-2/3,media,6.499999999999998,0.25,10,200,10,200,0,10,0,10,0,10,0.0051836278784231585,199.99999999999994,0.003189924848260406,40293.328623643705,6784.342038035505,-2177.123708937727,"D.M. Ø10@20, niveles inferiores",Muro LT2 de espesor 0.25 m en borde de junta; paño superior
6,2,7.92,15.84,M-LT2-D-D'-2/3,media,6.499999999999998,0.25,10,200,8,160,0,10,0,10,0,10,0.0051836278784231585,199.99999999999994,0.003189924848260406,40293.328623643705,6784.342038035505,-2177.123708937727,D.M.V. Ø10@20 y D.M.H. Ø8@16,Muro LT2 de espesor 0.25 m en borde de junta; paño superior
7,1,15.84,19.8,M-LT2-D-D'-2/3 (piso 4),media,6.5,0.25,10,200,8,160,0,10,0,10,0,10,0.0051836278784231585,200.0,0.0031899248482604053,40293.32862364371,6784.342038035507,-2177.123708937727,Piso 4,Continuación desplazada del muro 6 en el último nivel
8,1,0.0,7.92,M-LT2-1'-C'/D',media,2.6450000000000005,0.3,12,200,12,100,3,22,3,22,3,22,0.005447521661324701,195.7692307692308,0.006865181677787902,20586.016262665577,2893.8133739113273,-2287.9590977563744,"LT2/1 prima, niveles inferiores",Paño horizontal conectado al muro C prima
8,2,7.92,11.88,M-LT2-1'-C'/D',media,2.6450000000000005,0.3,12,200,12,200,3,22,3,22,3,22,0.005447521661324701,195.7692307692308,0.006865181677787902,20586.016262665577,2893.8133739113273,-2287.9590977563744,Piso 2,Paño horizontal conectado al muro C prima
8,3,11.88,19.8,M-LT2-1'-C'/D',media,2.6450000000000005,0.3,10,200,10,200,3,16,3,16,3,16,0.0034054864364913354,195.7692307692308,0.004291728338363371,19948.492865472603,1822.6887042058936,-1430.304303326361,Pisos 3 y 4,Paño horizontal conectado al muro C prima
9,1,0.0,3.96,M-LT2-C'-1'/2,alta,2.9450000000000003,0.25,10,200,10,150,2,25,2,25,2,25,0.004476769531365455,189.66666666666669,0.0060805019101737925,18920.3974476923,2662.267947481121,-1880.2432031734913,Subterráneo,Longitud modelada 2.945 m coincide con la cota registrada
9,2,3.96,7.92,M-LT2-C'-1'/2,alta,2.9450000000000003,0.25,10,200,10,200,0,10,0,10,0,10,0.0025132741228718345,189.66666666666669,0.003413615107465989,18307.39418116059,1489.1776156766073,-1055.5751316061705,Piso 1; borde no confirmado,Longitud modelada 2.945 m coincide con la cota registrada
9,3,7.92,19.8,M-LT2-C'-1'/2,alta,2.9450000000000003,0.25,10,200,8,160,2,25,2,25,2,25,0.004476769531365455,189.66666666666669,0.0060805019101737925,18920.3974476923,2662.267947481121,-1880.2432031734913,Pisos 2 a 4,Longitud modelada 2.945 m coincide con la cota registrada
10,1,3.96,7.92,M-1''-E/Ec,media,6.65,0.2,10,200,10,120,0,8,2,22,3,28,0.007948229413582177,198.48484848484853,0.00597611234103923,34135.43722292036,12010.40578918632,-3338.256353704514,Piso 1; D.M.V. Ø10@20 y D.M.H. Ø10@12. Borde Ec preliminar: 3Ø28 según elevación Ec; cotas exactas pendientes,Elevación eje 1'' entre E' y Ec; paño horizontal de espesor 0.20 m
10,2,7.92,11.88,M-1''-E/Ec,media,6.65,0.2,10,200,10,120,0,8,2,22,3,25,0.007573594489641594,198.48484848484853,0.0056944319470989425,34018.476199666104,11034.136790116943,-3180.9096856494693,Piso 2; D.M.V. Ø10@20 y D.M.H. Ø10@12. Borde Ec preliminar: 3Ø25 según elevación Ec; cotas exactas pendientes,Elevación eje 1'' entre E' y Ec; paño horizontal de espesor 0.20 m
10,3,11.88,15.84,M-1''-E/Ec,media,6.65,0.2,10,200,10,120,0,8,2,18,3,18,0.006613052535806514,198.48484848484853,0.004972219951734221,33718.59500167879,9145.490283086721,-2777.4820650387355,Piso 3; D.M.V. Ø10@20 y D.M.H. Ø10@12. Borde Ec preliminar: 3Ø18 según elevación Ec; cotas exactas pendientes,Elevación eje 1'' entre E' y Ec; paño horizontal de espesor 0.20 m
10,4,15.84,19.8,M-1''-E/Ec,media,6.65,0.2,10,200,10,120,0,8,2,18,3,18,0.006613052535806514,198.48484848484853,0.004972219951734221,33718.59500167879,9145.490283086721,-2777.4820650387355,Piso 4; D.M.V. Ø10@20 y D.M.H. Ø10@12. Borde Ec preliminar: 3Ø18 según elevación Ec; cotas exactas pendientes,Elevación eje 1'' entre E' y Ec; paño horizontal de espesor 0.20 m
11,1,0.0,7.92,M-Ec-1''/2 (borde izquierdo),media,2.25,0.3,10,160,10,160,0,10,0,10,0,10,0.0023561944901923444,153.57142857142856,0.0034906585039886587,16800.60391983805,1065.1315552683852,-989.6016858807847,Subterráneo y piso 1,Longitud 2.25 m y espesor 0.30 m
11,2,7.92,19.8,M-Ec-1''/2 (borde izquierdo),media,2.25,0.3,10,200,10,200,0,10,0,10,0,10,0.0018849555921538756,195.45454545454544,0.002792526803190927,16653.483135870443,859.1841890712049,-791.6813487046278,Pisos 2 a 4,Longitud 2.25 m y espesor 0.30 m
12,1,0.0,7.92,M-Ec-1''/2 (borde derecho),media,2.25,0.3,10,160,10,160,0,10,0,10,0,10,0.0023561944901923444,153.57142857142856,0.0034906585039886587,16800.60391983805,1065.1315552683852,-989.6016858807847,Subterráneo y piso 1,Longitud 2.25 m y espesor 0.30 m
12,2,7.92,19.8,M-Ec-1''/2 (borde derecho),media,2.25,0.3,10,200,10,200,0,10,0,10,0,10,0.0018849555921538756,195.45454545454544,0.002792526803190927,16653.483135870443,859.1841890712049,-791.6813487046278,Pisos 2 a 4,Longitud 2.25 m y espesor 0.30 m
13,1,0.0,19.8,M-1''-E/Ec,media,7.25,0.2,10,200,10,120,0,10,0,10,0,10,0.005811946409141117,198.61111111111111,0.004008238902855942,36324.48966893386,8396.827725568826,-2441.0174918392695,,Paño vertical LT1 de espesor 0.20 m
14,1,0.0,19.8,M-1''-Eb/Ec,media,3.4000000000000004,0.2,10,200,10,120,0,10,0,10,0,10,0.0028274333882308137,194.11764705882354,0.004157990276810019,17066.724703805667,1914.9718898483206,-1187.5220230569416,,Paño LT1 de espesor 0.20 m
15,1,0.0,19.8,M-Ea-2a/2,alta,1.5799999999999996,0.25,8,160,10,160,2,28,2,28,2,28,0.0035688492544780053,147.99999999999997,0.009035061403741787,10515.19473724803,1116.3066324558092,-1498.9166868807622,,Longitud modelada 1.58 m coincide con cota 1.579 m
16,1,0.0,11.88,M-Ed-2a/2,alta,1.5799999999999996,0.25,8,160,10,160,2,28,2,28,2,28,0.0035688492544780053,147.99999999999997,0.009035061403741787,10515.19473724803,1116.3066324558092,-1498.9166868807622,Hasta piso 2,Longitud modelada 1.58 m coincide con cota 1.579 m
16,2,11.88,19.8,M-Ed-2a/2,alta,1.5799999999999996,0.25,8,160,8,160,2,25,2,25,2,25,0.003069336022557228,147.99999999999997,0.007770470943182857,10359.246706242366,961.4973860587882,-1289.1211294740356,Pisos 3 y 4,Longitud modelada 1.58 m coincide con cota 1.579 m
17,1,0.0,3.96,M-E-E'-3/2,media,2.8000000000000003,0.2,10,200,8,200,0,10,0,10,0,10,0.0023561944901923444,192.85714285714286,0.004207490161057758,14063.603919838053,1314.2868368015652,-989.6016858807847,,Paño inferior de espesor 0.20 m
18,1,0.0,3.96,M1 1-1' / M-3-3'-E/F (paño 1),baja,4.93,0.2,8,200,8,200,0,8,0,8,0,8,0.002613805087786708,193.20000000000002,0.0026509179389317523,24282.82994840701,2613.222789385609,-1097.7981368704172,,Paño subterráneo de espesor 0.20 m; plano no entrega vínculo ID
19,1,0.0,3.96,M1 1-1' / M-3-3'-E/F (paño 2),baja,3.7699999999999996,0.2,8,200,8,200,0,8,0,8,0,8,0.0020106192982974674,193.15789473684208,0.002666603843895845,18572.91534492847,1538.1084620428965,-844.4601052849363,,Paño subterráneo de espesor 0.20 m; plano no entrega vínculo ID
20,1,0.0,3.96,M-F-F'-1/2 + M-F-F'-2/3,alta,16.65,0.3,16,200,12,200,0,16,0,16,0,16,0.03377840421139746,199.39759036144574,0.0067624432855650585,129426.61779479827,108349.0015712179,-14186.929768786933,,"Muro continuo en eje F, espesor 0.30 m, modela ambos paños"
21,1,0.0,3.96,M1 1-1',baja,10.5,0.3,10,200,12,160,0,10,0,10,0,10,0.00832522053201295,200.0,0.0026429271530199845,77569.13385009444,17717.852597501806,-3496.5926234454396,Se conserva espesor geométrico del modelo,Muro subterráneo simplificado con espesor de modelo 0.30 m
22,1,0.0,3.96,M-E-E'-2/1 + M-E-E'-3/2,alta,16.65,0.2,10,200,8,200,0,10,0,10,0,10,0.013194689145077128,199.39759036144574,0.003962369112635774,83373.38195109309,43776.46330254039,-5541.769440932394,"Se adopta Ø10@20 vertical, menor de los dos registros","Muro continuo sobre E prima, modela los dos paños"
23,1,3.96,7.92,M1 1-1' Piso 1 H-I',alta,15.0,0.3,10,200,12,160,0,10,0,10,0,10,0.011938052083641211,198.66666666666666,0.0026529004630313803,110827.05986051279,36286.246200985246,-5013.981875129309,,Ubicación H-I prima y espesor 0.30 m
24,1,3.96,7.92,M-I-1/2 + M-I-2/3,alta,16.4,0.3,16,200,12,200,0,16,0,16,0,16,0.033376280351737966,198.780487804878,0.006783796819458937,127516.07472581258,105427.78148061279,-14018.037747729944,,"Muro continuo en eje I, espesor 0.30 m"
