z_m,area_origen_m2,Q_origen_kN,Q_transferida_kN,diferencia_kN
3.96,711.2805060000005,3027.9903984098305,3027.990359669424,-3.8740406580473064e-05
7.92,1367.8733060000004,5427.242434282832,5427.242392600438,-4.168239411228569e-05
11.88,1391.7233060000005,5536.081833507331,5536.081784960283,-4.854704820900224e-05
15.84,1494.5555060000013,5268.791290774829,5268.791258899086,-3.1875742934062146e-05
19.8,1486.3769310000005,5346.815900943237,5346.815898981903,-1.9613335098256357e-06
