caso,elemento,tipo,eje,x_m,y_m,z_inferior_m,z_superior_m,nodo_inferior,nodo_superior,elementos_superiores,elementos_inferiores,P_compresion_kN,P_superior_kN,aporte_neto_nudo_kN,continuidad_nodal
G,47,COLUMN,H,30.0,0.0,7.92,11.88,200301,300301,73,21,2397.5434754119633,1790.2584981380242,607.2849772739391,OK
G,48,COLUMN,I,40.0,0.0,7.92,11.88,200401,300401,74,22,1305.1561775694704,912.2213818553262,392.93479571414423,OK
G,49,COLUMN,I_prima,45.0,0.0,7.92,11.88,200451,300451,75,23,1307.6982228309616,1151.5262302159176,156.17199261504402,OK
G,50,COLUMN,E,0.0,7.25,7.92,11.88,201001,301001,76,24,331.04905180153094,801.8949145474005,-470.84586274586957,OK
G,51,COLUMN,F,10.0,7.25,7.92,11.88,201101,301101,77,25,2368.2819698403136,1612.643673046373,755.6382967939408,OK
G,52,COLUMN,G,20.0,7.25,7.92,11.88,201201,301201,78,26,2704.2273413024404,1808.1631187079329,896.0642225945076,OK
G,53,COLUMN,H,30.0,7.25,7.92,11.88,201301,301301,79,27,2750.7428418139834,1831.336889748295,919.4059520656883,OK
G,54,COLUMN,I,40.0,7.25,7.92,11.88,201401,301401,80,28,1969.5576031396458,1239.4812706136881,730.0763325259577,OK
G,55,COLUMN,I_prima,45.0,7.25,7.92,11.88,201451,301451,81,29,2030.4185719234695,1768.010347368499,262.4082245549705,OK
G,56,COLUMN,E,0.0,16.15,7.92,11.88,202001,302001,82,30,561.4196316908719,-45.850727367736816,607.2703590586087,OK
G,57,COLUMN,F,10.0,16.15,7.92,11.88,202101,302101,83,31,1692.7090432049176,1126.2384980855827,566.4705451193349,OK
G,58,COLUMN,G,20.0,16.15,7.92,11.88,202201,302201,84,32,1716.1309170010504,1135.1814515211677,580.9494654798827,OK
G,59,COLUMN,H,30.0,16.15,7.92,11.88,202301,302301,85,33,1771.4847692553903,1174.6453013480655,596.8394679073249,OK
G,60,COLUMN,I,40.0,16.15,7.92,11.88,202401,302401,86,34,1294.0796512210386,805.4679459303968,488.6117052906418,OK
G,61,COLUMN,I_prima,45.0,16.15,7.92,11.88,202451,302451,87,35,1426.0081226619568,1236.2017940003548,189.80632866160204,OK
G,62,COLUMN,1B,-20.8,16.15,7.92,11.88,702001,703001,88,36,1757.3873584091161,1126.405653253125,630.9817051559912,OK
G,63,COLUMN,1C,-10.8,16.15,7.92,11.88,702002,703002,89,37,1742.9024151504595,1134.0847593596395,608.81765579082,OK
G,64,COLUMN,1D,-0.8,16.15,7.92,11.88,702003,703003,90,38,467.37028914344273,670.8127628385776,-203.44247369513482,OK
G,65,COLUMN,2A,-28.3,7.25,7.92,11.88,702004,703004,91,39,2111.696510589177,1357.6989698870243,753.9975407021525,OK
G,66,COLUMN,2B,-20.8,7.25,7.92,11.88,702005,703005,92,40,2426.9984895554535,1586.816313999435,840.1821755560186,OK
G,67,COLUMN,2C,-10.8,7.25,7.92,11.88,702006,703006,93,41,2644.022988918179,1731.538269751803,912.4847191663762,OK
G,68,COLUMN,3B,-20.8,0.0,7.92,11.88,702007,703007,94,42,1374.7320848920035,887.0728510132981,487.65923387870544,OK
G,69,COLUMN,3C,-10.8,0.0,7.92,11.88,702008,703008,95,43,1363.8616435843164,895.7017461678565,468.1598974164599,OK
G,70,COLUMN,E,0.0,0.0,11.88,15.84,300001,400001,96,44,127.85096156431568,346.0311305755072,-218.18016901119148,OK
G,71,COLUMN,F,10.0,0.0,11.88,15.84,300101,400101,97,45,1221.7054007924075,621.3020241281477,600.4033766642599,OK
G,72,COLUMN,G,20.0,0.0,11.88,15.84,300201,400201,98,46,1776.6315957848674,1052.0864456112613,724.5451501736061,OK
G,73,COLUMN,H,30.0,0.0,11.88,15.84,300301,400301,99,47,1790.2584981380242,1058.0222167738925,732.2362813641316,OK
G,74,COLUMN,I,40.0,0.0,11.88,15.84,300401,400401,100,48,912.2213818553262,577.5059292735605,334.7154525817657,OK
G,75,COLUMN,I_prima,45.0,0.0,11.88,15.84,300451,400451,101,49,1151.5262302159176,583.0447265032296,568.481503712688,OK
G,76,COLUMN,E,0.0,7.25,11.88,15.84,301001,401001,103,50,801.8949145474005,473.0825473811151,328.8123671662854,OK
G,77,COLUMN,F,10.0,7.25,11.88,15.84,301101,401101,104,51,1612.643673046373,822.7040270567175,789.9396459896554,OK
G,78,COLUMN,G,20.0,7.25,11.88,15.84,301201,401201,105,52,1808.1631187079329,907.051050241219,901.1120684667139,OK
G,79,COLUMN,H,30.0,7.25,11.88,15.84,301301,401301,106,53,1831.336889748295,914.276363743086,917.0605260052091,OK
G,80,COLUMN,I,40.0,7.25,11.88,15.84,301401,401401,107,54,1239.4812706136881,613.4258812673515,626.0553893463366,OK
G,81,COLUMN,I_prima,45.0,7.25,11.88,15.84,301451,401451,108,55,1768.010347368499,874.3980853931596,893.6122619753394,OK
G,82,COLUMN,E,0.0,16.15,11.88,15.84,302001,402001,110,56,-45.850727367736816,575.5023709443678,-621.3530983121046,OK
G,83,COLUMN,F,10.0,16.15,11.88,15.84,302101,402101,111,57,1126.2384980855827,539.9062573903425,586.3322406952402,OK
G,84,COLUMN,G,20.0,16.15,11.88,15.84,302201,402201,112,58,1135.1814515211677,553.6528602483302,581.5285912728375,OK
G,85,COLUMN,H,30.0,16.15,11.88,15.84,302301,402301,113,59,1174.6453013480655,574.390033911091,600.2552674369745,OK
G,86,COLUMN,I,40.0,16.15,11.88,15.84,302401,402401,114,60,805.4679459303968,383.46307221678023,422.0048737136166,OK
G,87,COLUMN,I_prima,45.0,16.15,11.88,15.84,302451,402451,115,61,1236.2017940003548,598.5043701410714,637.6974238592834,OK
G,88,COLUMN,1B,-20.8,16.15,11.88,15.84,703001,704001,117,62,1126.405653253125,499.50207040319884,626.9035828499261,OK
G,89,COLUMN,1C,-10.8,16.15,11.88,15.84,703002,704002,118,63,1134.0847593596395,551.9160282880077,582.1687310716318,OK
G,90,COLUMN,1D,-0.8,16.15,11.88,15.84,703003,704003,119,64,670.8127628385776,23.786029575000004,647.0267332635775,OK
G,91,COLUMN,2A,-28.3,7.25,11.88,15.84,703004,704004,120,65,1357.6989698870243,607.7026134715009,749.9963564155235,OK
G,92,COLUMN,2B,-20.8,7.25,11.88,15.84,703005,704005,121,66,1586.816313999435,755.5168724605053,831.2994415389296,OK
G,93,COLUMN,2C,-10.8,7.25,11.88,15.84,703006,704006,122,67,1731.538269751803,825.3396553589789,906.1986143928241,OK
G,94,COLUMN,3B,-20.8,0.0,11.88,15.84,703007,704007,123,68,887.0728510132981,396.0497468304627,491.02310418283537,OK
G,95,COLUMN,3C,-10.8,0.0,11.88,15.84,703008,704008,124,69,895.7017461678565,421.1447716791389,474.55697448871763,OK
G,96,COLUMN,E,0.0,0.0,15.84,19.8,400001,500001,,70,346.0311305755072,0,346.0311305755072,OK
G,97,COLUMN,F,10.0,0.0,15.84,19.8,400101,500101,,71,621.3020241281477,0,621.3020241281477,OK
G,98,COLUMN,G,20.0,0.0,15.84,19.8,400201,500201,,72,1052.0864456112613,0,1052.0864456112613,OK
G,99,COLUMN,H,30.0,0.0,15.84,19.8,400301,500301,,73,1058.0222167738925,0,1058.0222167738925,OK
G,100,COLUMN,I,40.0,0.0,15.84,19.8,400401,500401,,74,577.5059292735605,0,577.5059292735605,OK
G,101,COLUMN,I_prima,45.0,0.0,15.84,19.8,400451,500451,,75,583.0447265032296,0,583.0447265032296,OK
G,102,COLUMN,J,50.0,0.0,15.84,19.8,400501,500501,,,16.146277024990933,0,16.146277024990933,OK
G,103,COLUMN,E,0.0,7.25,15.84,19.8,401001,501001,,76,473.0825473811151,0,473.0825473811151,OK
G,104,COLUMN,F,10.0,7.25,15.84,19.8,401101,501101,,77,822.7040270567175,0,822.7040270567175,OK
G,105,COLUMN,G,20.0,7.25,15.84,19.8,401201,501201,,78,907.051050241219,0,907.051050241219,OK
G,106,COLUMN,H,30.0,7.25,15.84,19.8,401301,501301,,79,914.276363743086,0,914.276363743086,OK
G,107,COLUMN,I,40.0,7.25,15.84,19.8,401401,501401,,80,613.4258812673515,0,613.4258812673515,OK
G,108,COLUMN,I_prima,45.0,7.25,15.84,19.8,401451,501451,,81,874.3980853931596,0,874.3980853931596,OK
G,109,COLUMN,J,50.0,7.25,15.84,19.8,401501,501501,,,33.789994778674945,0,33.789994778674945,OK
G,110,COLUMN,E,0.0,16.15,15.84,19.8,402001,502001,,82,575.5023709443678,0,575.5023709443678,OK
G,111,COLUMN,F,10.0,16.15,15.84,19.8,402101,502101,,83,539.9062573903425,0,539.9062573903425,OK
G,112,COLUMN,G,20.0,16.15,15.84,19.8,402201,502201,,84,553.6528602483302,0,553.6528602483302,OK
G,113,COLUMN,H,30.0,16.15,15.84,19.8,402301,502301,,85,574.390033911091,0,574.390033911091,OK
G,114,COLUMN,I,40.0,16.15,15.84,19.8,402401,502401,,86,383.46307221678023,0,383.46307221678023,OK
G,115,COLUMN,I_prima,45.0,16.15,15.84,19.8,402451,502451,,87,598.5043701410714,0,598.5043701410714,OK
G,116,COLUMN,J,50.0,16.15,15.84,19.8,402501,502501,,,19.008420714582783,0,19.008420714582783,OK
G,117,COLUMN,1B,-20.8,16.15,15.84,19.8,704001,705001,,88,499.50207040319884,0,499.50207040319884,OK
G,118,COLUMN,1C,-10.8,16.15,15.84,19.8,704002,705002,,89,551.9160282880077,0,551.9160282880077,OK
G,119,COLUMN,1D,-0.8,16.15,15.84,19.8,704003,705003,,90,23.786029575000004,0,23.786029575000004,OK
G,120,COLUMN,2A,-28.3,7.25,15.84,19.8,704004,705004,,91,607.7026134715009,0,607.7026134715009,OK
G,121,COLUMN,2B,-20.8,7.25,15.84,19.8,704005,705005,,92,755.5168724605053,0,755.5168724605053,OK
G,122,COLUMN,2C,-10.8,7.25,15.84,19.8,704006,705006,,93,825.3396553589789,0,825.3396553589789,OK
G,123,COLUMN,3B,-20.8,0.0,15.84,19.8,704007,705007,,94,396.0497468304627,0,396.0497468304627,OK
G,124,COLUMN,3C,-10.8,0.0,15.84,19.8,704008,705008,,95,421.1447716791389,0,421.1447716791389,OK
G,355,STEEL_COLUMN_SHS300x20,BEAM_MANUAL,10.0,-4.12,7.92,11.88,900017,900115,,,4.921255864246076,0,4.921255864246076,OK
G,356,STEEL_COLUMN_SHS300x20,BEAM_MANUAL,17.49,-4.12,7.92,11.88,900018,900116,,,0.5950480870477912,0,0.5950480870477912,OK
G,357,STEEL_COLUMN_SHS300x20,BEAM_MANUAL,20.0,-4.12,15.84,19.8,900034,900046,,,7.65178974797738,0,7.65178974797738,OK
