P_kN,M_kNm,phi_1_m,eps0,c_m
-3.410605131648481e-13,1156.7836237282634,0.026406153999013506,0.005742153899654726,0.13254486057040926
4188.606661247634,1669.4334195899346,0.011129143093255602,0.0003952000826394604,0.3144896215883003
8377.21332249527,1303.0398817972027,0.007197535171867538,-0.0009808626898463618,0.4862775820367208
20943.03330623817,0.0,0.0,-0.002,
