piso,bloque,z_m,nodo,x_m,y_m,G_kN,Q_kN,peso_sismico_kN,masa_t
1,LT1,3.96,100001,0.0,0.0,262.90511265000004,44.23748267025001,285.023853985125,29.064344499408566
1,LT1,3.96,100101,10.0,0.0,262.94032515,44.83047841650001,285.35556435825,29.098169543957415
1,LT1,3.96,100201,20.0,0.0,47.57205915,-0.0,47.57205915,4.851
1,LT1,3.96,100301,30.0,0.0,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,100401,40.0,0.0,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,100451,45.0,0.0,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,101001,0.0,7.25,417.92372165,127.52965392249996,481.68854861125,49.11856226246986
1,LT1,3.96,101101,10.0,7.25,418.54273614999994,120.61994948749998,478.85271089374993,48.829387292678945
1,LT1,3.96,101201,20.0,7.25,47.57205915,-0.0,47.57205915,4.851
1,LT1,3.96,101301,30.0,7.25,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,101401,40.0,7.25,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,101451,45.0,7.25,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,102001,0.0,16.15,313.0042421499999,84.31267337499997,355.1605788374999,36.21630004512243
1,LT1,3.96,102101,10.0,16.15,311.6500051499999,76.60464647499998,349.9523283874999,35.68520630261098
1,LT1,3.96,102201,20.0,16.15,47.57205915,-0.0,47.57205915,4.851
1,LT1,3.96,102301,30.0,16.15,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,102401,40.0,16.15,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,102451,45.0,16.15,23.786029575,-0.0,23.786029575,2.4255
1,LT1,3.96,609002,-0.25,12.25,75.8360592125,10.004482492445002,80.8383004587225,8.243212560734044
1,LT1,3.96,612002,-0.25,1.45,51.385991,6.134672340312499,54.45332717015625,5.552694056599986
1,LT1,3.96,900001,-0.25,0.0,97.25633609375,28.320685660625003,111.4166789240625,11.361339389502277
1,LT1,3.96,900002,-0.25,7.25,163.10000409375002,37.660600578125,181.93030438281252,18.55172810111634
1,LT1,3.96,900004,-0.25,16.15,114.54433749999998,33.1562547203825,131.12246486019123,13.370770330356567
1,LT1,3.96,3000108,1.9666666666666668,12.25,21.520693425000005,-0.0,21.520693425000005,2.1945000000000006
1,LT1,3.96,3000109,4.183333333333334,12.25,21.520693425000005,-0.0,21.520693425000005,2.1945000000000006
1,LT1,3.96,3000110,6.4,12.25,57.11883292500001,-0.0,57.11883292500001,5.824500000000001
1,LT1,3.96,3000129,3.6,10.0,32.7664693125,-0.0,32.7664693125,3.34125
1,LT1,3.96,3000130,3.6,12.25,46.358486212500004,-0.0,46.358486212500004,4.727250000000001
1,LT1,3.96,3000141,6.4,10.0,32.7664693125,-0.0,32.7664693125,3.34125
1,LT1,3.96,3000151,-0.25,1.8125,35.19361518750001,-0.0,35.19361518750001,3.588750000000001
1,LT1,3.96,3000152,-0.25,3.625,35.19361518750001,-0.0,35.19361518750001,3.588750000000001
1,LT1,3.96,3000153,-0.25,5.4375,35.19361518750001,-0.0,35.19361518750001,3.588750000000001
1,LT1,3.96,3000169,3.3,2.305,35.679044362499994,-0.0,35.679044362499994,3.6382499999999998
1,LT1,3.96,3000170,5.0,2.305,33.009183900000004,-0.0,33.009183900000004,3.3660000000000005
1,LT1,3.96,3000171,6.7,2.305,35.679044362499994,-0.0,35.679044362499994,3.6382499999999998
1,LT1,3.96,3000185,3.3,3.885,19.174452412499996,-0.0,19.174452412499996,1.9552499999999997
1,LT1,3.96,3000191,6.7,3.885,19.174452412499996,-0.0,19.174452412499996,1.9552499999999997
1,LT1,3.96,3000199,-0.25,16.4,22.0688238684375,-0.0,22.0688238684375,2.25039375
1,LT1,3.96,3000200,2.215,16.4,23.931658327500003,-0.0,23.931658327500003,2.4403500000000005
1,LT1,3.96,3000201,4.68,16.4,11.965829163750001,-0.0,11.965829163750001,1.2201750000000002
1,LT1,3.96,3000205,6.48,16.4,9.15033994875,-0.0,9.15033994875,0.9330750000000001
1,LT1,3.96,3000206,8.365,16.4,18.3006798975,-0.0,18.3006798975,1.8661500000000002
1,LT1,3.96,3000207,10.25,16.4,24.30483200578125,-0.0,24.30483200578125,2.4784031250000003
1,LT1,3.96,3000216,10.25,-0.25,30.44551106953125,-0.0,30.44551106953125,3.104578125
1,LT1,3.96,3000217,10.25,1.8312499999999998,30.3089841140625,-0.0,30.3089841140625,3.0906562500000003
1,LT1,3.96,3000218,10.25,3.9124999999999996,30.3089841140625,-0.0,30.3089841140625,3.0906562500000003
1,LT1,3.96,3000219,10.25,5.9937499999999995,30.3089841140625,-0.0,30.3089841140625,3.0906562500000003
1,LT1,3.96,3000220,10.25,8.075,30.3089841140625,-0.0,30.3089841140625,3.0906562500000003
1,LT1,3.96,3000221,10.25,10.15625,30.3089841140625,-0.0,30.3089841140625,3.0906562500000003
1,LT1,3.96,3000222,10.25,12.237499999999999,30.3089841140625,-0.0,30.3089841140625,3.0906562500000003
1,LT1,3.96,3000223,10.25,14.318749999999998,30.3089841140625,-0.0,30.3089841140625,3.0906562500000003
1,LT1,3.96,3000229,-0.25,-0.25,25.3940137171875,-0.0,25.3940137171875,2.5894687500000004
1,LT1,3.96,3000230,1.85,-0.25,30.582038025000003,-0.0,30.582038025000003,3.1185000000000005
1,LT1,3.96,3000231,3.95,-0.25,30.582038025000003,-0.0,30.582038025000003,3.1185000000000005
1,LT1,3.96,3000232,6.05,-0.25,30.582038025000003,-0.0,30.582038025000003,3.1185000000000005
1,LT1,3.96,3000233,8.15,-0.25,30.582038025000003,-0.0,30.582038025000003,3.1185000000000005
1,LT1,3.96,3000241,-0.25,1.8312499999999998,20.205989409375,-0.0,20.205989409375,2.0604375000000004
1,LT1,3.96,3000242,-0.25,3.9124999999999996,20.205989409375,-0.0,20.205989409375,2.0604375000000004
1,LT1,3.96,3000243,-0.25,5.9937499999999995,20.205989409375,-0.0,20.205989409375,2.0604375000000004
1,LT1,3.96,3000244,-0.25,8.075,20.205989409375,-0.0,20.205989409375,2.0604375000000004
1,LT1,3.96,3000245,-0.25,10.15625,20.205989409375,-0.0,20.205989409375,2.0604375000000004
1,LT1,3.96,3000246,-0.25,12.237499999999999,20.205989409375,-0.0,20.205989409375,2.0604375000000004
1,LT1,3.96,3000247,-0.25,14.318749999999998,20.205989409375,-0.0,20.205989409375,2.0604375000000004
1,LT1,3.96,3000248,30.0,16.4,13.652695546875,-0.0,13.652695546875,1.3921875000000001
1,LT1,3.96,3000249,31.875,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
1,LT1,3.96,3000250,33.75,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
1,LT1,3.96,3000251,35.625,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
1,LT1,3.96,3000252,37.5,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
1,LT1,3.96,3000253,39.375,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
1,LT1,3.96,3000254,41.25,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
1,LT1,3.96,3000255,43.125,16.4,27.30539109375,-0.0,27.30539109375,2.7843750000000003
1,LT1,3.96,3000256,45.0,16.4,13.652695546875,-0.0,13.652695546875,1.3921875000000001
1,LT1,3.96,3000266,40.15,0.0,14.926947131249998,-0.0,14.926947131249998,1.522125
1,LT1,3.96,3000267,40.15,2.05,29.853894262499995,-0.0,29.853894262499995,3.04425
1,LT1,3.96,3000268,40.15,4.1,29.853894262499995,-0.0,29.853894262499995,3.04425
1,LT1,3.96,3000269,40.15,6.1499999999999995,29.853894262499995,-0.0,29.853894262499995,3.04425
1,LT1,3.96,3000270,40.15,8.2,29.853894262499995,-0.0,29.853894262499995,3.04425
1,LT1,3.96,3000271,40.15,10.25,29.853894262499995,-0.0,29.853894262499995,3.04425
