piso,z_m,G_kN,Q_kN,masa_t,a_g,a_m_s2,Fx_EX_kN,Fy_EY_kN
1,3.96,11521.524631076249,3026.8282667410995,1329.1938393280886,0.2,1.96133,2606.98775288936,2606.98775288936
2,7.92,17947.22175865431,5427.24239260043,2106.819653495794,0.2,1.96133,4132.168590990906,4132.168590990906
3,11.88,17758.41187895431,5536.081784960275,2093.1156685957435,0.2,1.96133,4105.29055428689,4105.29055428689
4,15.84,18961.390655679308,5267.629165970755,2202.0980904452276,0.2,1.96133,4319.041047732938,4319.041047732938
5,19.8,18518.734370272436,5346.815898981899,2160.997111119841,0.2,1.96133,4238.428463952678,4238.428463952678
