P_kN,M_kNm,phi_1_m,eps0,punto
13560.83891840862,0.0,0.0,0.0,A
13213.739739917486,1047.808604803114,0.0,0.0,B
6367.563300305559,1741.580997887212,0.0,0.0,C
5690.418670129786,1680.0619328885255,0.0,0.0,D
3411.987945785678,1495.7393326712056,0.0,0.0,E
0.0,763.0823359444464,0.0,0.0,F
-2554.4918184869325,0.0,0.0,0.0,G
