z_m,area_origen_m2,Q_origen_kN,Q_transferida_kN,diferencia_kN
3.96,711.2805060000003,3026.828310384829,3026.828266741099,-4.364372989584808e-05
7.92,1367.8733060000004,5427.242434282832,5427.242392600438,-4.168239411228569e-05
11.88,1391.7233060000005,5536.081833507331,5536.081784960283,-4.854704820900224e-05
15.84,1494.5555060000015,5267.629202749828,5267.629165970761,-3.6779067158931866e-05
19.8,1486.3769310000005,5346.815900943237,5346.815898981903,-1.9613335098256357e-06
