respuesta,identificador,superpuesta,explicita,error_absoluto_max,error_relativo_max
desplazamientos,"nodo 900116, DOF 3",-0.034979533121045195,-0.03497953262135248,2.115246222102185e-09,6.047096869473264e-08
reacciones de apoyo,"nodo 700006, DOF 3",7407.398034406045,7407.398043090655,0.0012631838517336291,1.7053003556517122e-07
fuerzas internas,"elemento 15, componente global 3",7378.854798916045,7378.854807600655,0.0015619863270330825,2.1168411193348657e-07
