node,Fx,Fy,Fz,Mx,My,Mz
1,12.495654803165154,9.77226991733383,75.0,-9.735623905143829,12.439424356550909,-4.422678231679339e-17
2,-12.495654803165154,9.772269917333832,75.00000000000003,-9.73562390514383,-12.439424356550914,-7.982378455049385e-17
3,-12.495654803165161,-9.772269917333833,75.00000000000001,9.735623905143832,-12.43942435655092,-6.929912059741517e-17
4,12.495654803165156,-9.77226991733383,75.0,9.735623905143829,12.43942435655091,-4.212315443721658e-17
