element,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
1,75.0,-9.77226991733383,12.495654803165154,-4.422678231679339e-17,-12.439424356550909,-9.735623905143829,-75.0,9.77226991733383,-12.495654803165154,4.422678231679339e-17,-25.047540052944555,-19.58118584685766
2,75.00000000000003,-9.772269917333832,-12.495654803165154,-7.982378455049385e-17,12.439424356550914,-9.73562390514383,-75.00000000000003,9.772269917333832,12.495654803165154,7.982378455049385e-17,25.04754005294455,-19.581185846857668
3,75.00000000000001,9.772269917333833,-12.495654803165161,-6.929912059741517e-17,12.43942435655092,9.735623905143832,-75.00000000000001,-9.772269917333833,12.495654803165161,6.929912059741517e-17,25.047540052944562,19.58118584685767
4,75.0,9.77226991733383,12.495654803165156,-4.212315443721658e-17,-12.43942435655091,9.735623905143829,-75.0,-9.77226991733383,-12.495654803165156,4.212315443721658e-17,-25.04754005294456,19.581185846857665
5,12.49565480316515,-4.730743172513739e-17,37.5,7.962109704190424e-16,-25.047540052944537,-1.6140231128263813e-16,-12.49565480316515,4.730743172513739e-17,37.5,-7.962109704190424e-16,25.04754005294456,-1.224422790681862e-16
6,12.49565480316516,-4.931629610623431e-17,37.5,-5.308073136126949e-16,-25.04754005294454,-1.6282059731977476e-16,-12.49565480316516,4.931629610623431e-17,37.5,5.308073136126949e-16,25.047540052944548,-1.3307717931763113e-16
7,9.772269917333828,-1.2422474548646352e-17,37.5,-0.0,-19.58118584685768,-2.9674765384239456e-17,-9.772269917333828,1.2422474548646352e-17,37.5,0.0,19.581185846857668,-3.24376073589923e-17
8,9.772269917333832,1.3750603557809204e-17,37.5,1.2739375526704681e-15,-19.58118584685767,4.128789840928442e-17,-9.772269917333832,-1.3750603557809204e-17,37.5,-1.2739375526704681e-15,19.581185846857665,2.7465119379761592e-17
